IndustryCode,Origin,Dest,tau_nodist,TEC,Desc
BS212396,NS,AB,1.006037277,0.60%, Diamond Mining
BS21311A,NS,AB,1,0.00%, Support Activities for Oil and Gas Extraction
BS21311B,NS,AB,1.007766408,0.78%, Support Activities for Oil and Gas Extraction
BS221100,NS,AB,1.315603142,31.56%," Electric Power Generation, Transmission and Distribution"
BS221200,NS,AB,2.475600166,147.56%," Electric Power Generation, Transmission and Distribution"
BS221300,NS,AB,1,0.00%, Natural Gas Distribution
BS23A000,NS,AB,1,0.00%, Residential Building Construction
BS23B000,NS,AB,1,0.00%, Non-Residential Building Construction
BS23C100,NS,AB,1,0.00%, Transportation Engineering Construction
BS23C200,NS,AB,1,0.00%, Oil and Gas Engineering Construction
BS23C300,NS,AB,1,0.00%, Electric Power Engineering Construction
